_step,_runtime,_timestamp,actor/entropy,actor/grad_norm,actor/kl_coef,actor/kl_loss,actor/lr,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,critic/advantages/max,critic/advantages/mean,critic/advantages/min,critic/returns/max,critic/returns/mean,critic/returns/min,critic/rewards/max,critic/rewards/mean,critic/rewards/min,critic/score/max,critic/score/mean,critic/score/min,global_seqlen/balanced_max,global_seqlen/balanced_min,global_seqlen/max,global_seqlen/mean,global_seqlen/min,global_seqlen/minmax_diff,perf/cpu_memory_used_gb,perf/max_memory_allocated_gb,perf/max_memory_reserved_gb,perf/mfu/actor,perf/throughput,perf/time_per_step,perf/total_num_tokens,prompt_length/clip_ratio,prompt_length/max,prompt_length/mean,prompt_length/min,response/aborted_ratio,response_length/clip_ratio,response_length/max,response_length/mean,response_length/min,response_length_non_aborted/clip_ratio,response_length_non_aborted/max,response_length_non_aborted/mean,response_length_non_aborted/min,timing_per_token_ms/adv,timing_per_token_ms/gen,timing_per_token_ms/ref,timing_per_token_ms/update_actor,timing_s/adv,timing_s/gen,timing_s/generate_sequences,timing_s/generation_timing/max,timing_s/generation_timing/min,timing_s/generation_timing/topk_ratio,timing_s/old_log_prob,timing_s/ref,timing_s/reward,timing_s/save_checkpoint,timing_s/start_profile,timing_s/step,timing_s/stop_profile,timing_s/testing,timing_s/update_actor,training/epoch,training/global_step,val-core/amazon_test/reward/mean@1
0,2567.126742606,1784257492.7245452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.038084499978402166
1,3250.498070817,1784258193.4281197,0.3392287790775299,0.38662293553352356,0.001,0,0,0,0,0.0004265689058229327,0,2.4748666286468506,-0.02261168509721756,-2.4748597145080566,2.4748666286468506,-0.02261168509721756,-2.4748597145080566,1,-0.032455358654260635,-0.5,1,-0.032455358654260635,-0.5,1143097,1143097,1143097,1143097.0,1143097,0,140.39569091796875,40.030625343322754,47.4453125,0.3270765428502463,1631.7863944254318,700.5187712712213,1143097,0,693,631.9821166992188,593,0,0.6785714030265808,2048,1919.5736083984375,290,0.6785714030265808,2048,1919.5736083984375,290,6.06836016340023e-06,0.4913719541828221,0.012479685960555624,0.04389016430349779,0.0069367242977023125,422.56464806664735,403.3756103515625,403.3756103515625,403.3756103515625,0,16.23128191102296,14.26549158245325,197.26809315010905,,0.00014121457934379578,700.5187712712213,3.1103380024433136e-05,,50.17071514483541,0,1,
2,3948.283587842,1784258876.7995658,0.32657530903816223,0.3854447305202484,0.001,0,2.1881838074398247e-09,0,0,0.0002041259061542758,0,2.4748666286468506,-0.010633988305926323,-2.4748597145080566,2.4748666286468506,-0.010633988305926323,-2.4748597145080566,1,-0.01717578060925007,-0.5,1,-0.01717578060925007,-0.5,1152834,1152834,1152834,1152834.0,1152834,0,168.559326171875,53.085392475128174,57.171875,0.3325798035241496,1687.0207134362047,683.3549765087664,1152834,0,708,639.4285888671875,603,0,0.7008928656578064,2048,1933.861572265625,567,0.7008928656578064,2048,1933.861572265625,567,5.4865205772718666e-06,0.49765632973752616,0.011087991518791149,0.04275820143447091,0.006325047463178635,431.1545143947005,411.7774963378906,411.7774963378906,411.7774963378906,0,13.377429732121527,12.782613614574075,176.73042203765363,,3.5200268030166626e-05,683.3549765087664,3.068801015615463e-05,,49.29310839250684,0,2,
3,4649.139010492,1784259574.5849507,0.32775816321372986,0.3770257234573364,0.001,1.9320270606543515e-05,4.3763676148796494e-09,0,0,0.00026389324564809856,0,2.4748666286468506,-0.015469897538423538,-2.4748597145080566,2.4748666286468506,-0.015469897538423538,-2.4748597145080566,1,-0.010475446470081806,-0.5,1,-0.010475446470081806,-0.5,1131720,1131720,1131720,1131720.0,1131720,0,167.94989013671875,53.085392475128174,57.19140625,0.33124562236267224,1621.9030964277856,697.7728832829744,1131720,0,690,631.7678833007812,595,0,0.640625,2048,1894.392822265625,453,0.640625,2048,1894.392822265625,453,5.7204463923212974e-06,0.4969189480153079,0.011096902485621271,0.04285417395082226,0.006473943591117859,421.72914815321565,402.1885681152344,402.1885681152344,402.1885681152344,0,13.15319122839719,12.558586481027305,201.81619616691023,,2.815946936607361e-05,697.7728832829744,3.0496157705783844e-05,,48.49892574362457,0,3,
4,5342.075049166,1784260275.4405017,0.3302968442440033,0.35171547532081604,0.001,2.214639997483963e-05,6.564551422319474e-09,0,0,0.0003403448402850143,0,2.4748666286468506,-0.016432607546448708,-2.4748597145080566,2.4748666286468506,-0.016432607546448708,-2.4748597145080566,1,-0.02013113908469677,-0.5,1,-0.02013113908469677,-0.5,1155594,1155594,1155594,1155594.0,1155594,0,168.44561767578125,53.40025758743286,57.484375,0.32978572199434064,1648.8801069479052,700.835673334077,1155594,0,729,640.7678833007812,601,0,0.6964285969734192,2048,1938.6829833984375,802,0.6964285969734192,2048,1938.6829833984375,802,7.82207433498125e-06,0.5077966675284558,0.011082174932586389,0.04311775912538778,0.009039142169058323,441.03663964848965,421.3739318847656,421.3739318847656,421.3739318847656,0,13.411520605906844,12.806494859047234,183.73435006663203,,4.867091774940491e-05,700.835673334077,3.017578274011612e-05,,49.826623738743365,0,4,
5,6036.691223819,1784260968.376655,0.327065646648407,0.3539763391017914,0.001,2.386657062594836e-05,8.752735229759299e-09,0,0,0.000500408956213505,0,2.4748036861419678,-0.027355264872312546,-2.4748597145080566,2.4748036861419678,-0.027355264872312546,-2.4748597145080566,1,-0.025435268878936768,-0.5,1,-0.025435268878936768,-0.5,1135471,1135471,1135471,1135471.0,1135471,0,168.16461181640625,53.40025758743286,57.484375,0.32908532966627563,1638.6669577159482,692.9235953977332,1135471,0,689,643.6607055664062,596,0,0.6138392686843872,2048,1890.872802734375,559,0.6138392686843872,2048,1890.872802734375,559,8.045776127928817e-06,0.48788518414319687,0.01108207654211498,0.04313955282509646,0.009135745465755463,413.29290622472763,393.65057373046875,393.65057373046875,393.65057373046875,0,13.16276756580919,12.583376533351839,204.88109321892262,,2.6464462280273438e-05,692.9235953977332,3.017578274011612e-05,,48.983711185865104,0,5,
6,6721.090341776,1784261662.9924846,0.32813921570777893,0.37152954936027527,0.001,2.4620579190050936e-05,1.0940919037199124e-08,0,0,5.272855701243354e-05,0,2.4748666286468506,-0.002626570640131831,-2.4748597145080566,2.4748666286468506,-0.002626570640131831,-2.4748597145080566,1,-0.020625557750463486,-0.5,1,-0.020625557750463486,-0.5,1134022,1134022,1134022,1134022.0,1134022,0,168.371826171875,53.40025758743286,57.484375,0.3294849585996902,1632.6180270158527,694.6033801138401,1134022,0,696,636.8214111328125,597,0,0.625,2048,1894.4776611328125,574,0.625,2048,1894.4776611328125,574,5.651972898249952e-06,0.50145957406827,0.011081145363159161,0.04307688427583901,0.006409461610019207,425.60177846066654,406.2904357910156,406.2904357910156,406.2904357910156,0,13.151321017183363,12.566262627020478,194.41610609926283,,3.209523856639862e-05,694.6033801138401,3.1871721148490906e-05,,48.850134460255504,0,6,
7,7413.666652315,1784262347.3918362,0.33041778206825256,0.3245360255241394,0.001,2.4395438231294975e-05,1.3129102844638948e-08,0,0,0.00042113557779253934,0,2.4748666286468506,-0.02387258969247341,-2.4748597145080566,2.4748666286468506,-0.02387258969247341,-2.4748597145080566,1,-0.03129631653428078,-0.5,1,-0.03129631653428078,-0.5,1144718,1144718,1144718,1144718.0,1144718,0,168.52276611328125,53.40025758743286,57.484375,0.32952001082957416,1672.6189736746906,684.3865925334394,1144718,0,715,640.1071166992188,600,0,0.65625,2048,1915.0670166015625,355,0.65625,2048,1915.0670166015625,355,5.561452522530247e-06,0.48931943739430217,0.011082360132479747,0.04312128445361926,0.00636629480868578,419.8116113124415,400.3724670410156,400.3724670410156,400.3724670410156,0,13.280710272490978,12.686177126131952,189.22895578946918,,2.6687979698181152e-05,684.3865925334394,2.8896145522594452e-05,,49.36171049717814,0,7,
8,8113.347857363,1784263039.9681735,0.32256177067756653,0.33446016907691956,0.001,2.4496380783788555e-05,1.5317286652078775e-08,0,0,0.00016715615587674287,0,2.4748666286468506,-0.010327165946364403,-2.4748597145080566,2.4748666286468506,-0.010327165946364403,-2.4748597145080566,1,-0.023864954710006714,-0.5,1,-0.023864954710006714,-0.5,1144745,1144745,1144745,1144745.0,1144745,0,168.50982666015625,53.40025758743286,57.484375,0.3299516224942605,1652.9133971150052,692.5619950797409,1144745,0,766,640.6071166992188,597,0,0.6607142686843872,2048,1914.627197265625,732,0.6607142686843872,2048,1914.627197265625,732,5.587094223191211e-06,0.4967211320742614,0.011068768114284623,0.043055568529720006,0.006395798176527023,426.0640412000939,406.66510009765625,406.66510009765625,406.66510009765625,0,13.287534318864346,12.670916954986751,191.23417509160936,,3.6767683923244476e-05,692.5619950797409,3.075040876865387e-05,,49.28764679655433,0,8,
9,8796.376834584,1784263739.6493368,0.3255288004875183,0.3298186957836151,0.001,2.5100293395534745e-05,1.7505470459518598e-08,0,0,0.00040295865133253866,0,2.4748597145080566,-0.02267567068338394,-2.4748597145080566,2.4748597145080566,-0.02267567068338394,-2.4748597145080566,1,-0.010751674883067608,-0.5,1,-0.010751674883067608,-0.5,1120664,1120664,1120664,1120664.0,1120664,0,168.3507080078125,53.40025758743286,57.484375,0.32766013687763273,1601.7126911205758,699.6660551000386,1120664,0,682,632,598,0,0.5870535969734192,2048,1869.482177734375,565,0.5870535969734192,2048,1869.482177734375,565,5.900948668184401e-06,0.4943011559489345,0.011110466787534787,0.04327774507861742,0.006612980738282204,413.9910585395992,394.5382080078125,394.5382080078125,394.5382080078125,0,13.017707639373839,12.451100151985884,211.68949873466045,,3.935955464839935e-05,699.6660551000386,3.1167641282081604e-05,,48.49981091078371,0,9,
